EventId,Type,Severity,StartTimeUTC,EndTimeUTC,PrecipitationIn,TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
61,Snow,Light,2016-03-16 09:34:00,2016-03-16 11:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
62,Storm,Severe,2016-03-18 20:54:00,2016-03-18 21:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
63,Storm,Severe,2016-03-18 22:34:00,2016-03-18 22:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
64,Storm,Severe,2016-03-18 23:14:00,2016-03-18 23:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
65,Storm,Severe,2016-03-19 00:14:00,2016-03-19 00:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
66,Storm,Severe,2016-03-19 00:54:00,2016-03-19 01:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
67,Storm,Severe,2016-03-22 18:34:00,2016-03-22 18:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
68,Snow,Light,2016-03-23 05:54:00,2016-03-23 06:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
69,Snow,Light,2016-03-23 06:34:00,2016-03-23 06:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
70,Snow,Light,2016-03-23 07:34:00,2016-03-23 07:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
71,Storm,Severe,2016-03-23 13:14:00,2016-03-23 14:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
72,Storm,Severe,2016-03-23 14:54:00,2016-03-23 15:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
73,Storm,Severe,2016-03-23 15:54:00,2016-03-23 16:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
74,Snow,Light,2016-03-26 13:24:00,2016-03-26 15:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
75,Snow,Light,2016-03-26 16:54:00,2016-03-26 18:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
76,Snow,Light,2016-03-26 18:34:00,2016-03-26 19:14:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
77,Snow,Light,2016-03-26 19:34:00,2016-03-26 23:54:00,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
78,Snow,Light,2016-03-27 04:34:00,2016-03-27 05:54:00,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
79,Snow,Light,2016-03-27 11:14:00,2016-03-27 11:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
80,Snow,Light,2016-03-31 10:34:00,2016-03-31 10:54:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
81,Fog,Moderate,2016-03-31 22:14:00,2016-03-31 22:34:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
82,Snow,Light,2016-04-01 00:54:00,2016-04-01 01:34:00,0.02,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
83,Rain,Light,2016-04-09 20:55:00,2016-04-09 21:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
84,Rain,Light,2016-04-09 22:55:00,2016-04-10 00:15:00,0.06,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
85,Rain,Light,2016-04-11 06:15:00,2016-04-11 06:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
86,Rain,Light,2016-04-11 21:55:00,2016-04-11 22:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
87,Rain,Light,2016-04-12 03:55:00,2016-04-12 04:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
88,Rain,Light,2016-04-12 23:15:00,2016-04-12 23:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
89,Rain,Light,2016-04-12 23:55:00,2016-04-13 00:55:00,0.01,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
90,Rain,Light,2016-04-13 02:35:00,2016-04-13 02:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
91,Rain,Light,2016-04-15 21:55:00,2016-04-15 22:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
92,Rain,Light,2016-04-15 22:55:00,2016-04-15 23:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
93,Fog,Severe,2016-04-15 23:35:00,2016-04-15 23:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
94,Fog,Moderate,2016-04-15 23:55:00,2016-04-16 00:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
95,Rain,Light,2016-04-16 00:55:00,2016-04-16 01:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
96,Rain,Light,2016-04-16 01:55:00,2016-04-16 02:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
97,Rain,Light,2016-04-16 04:15:00,2016-04-16 05:15:00,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
98,Snow,Moderate,2016-04-16 05:15:00,2016-04-16 05:35:00,0.04,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
99,Rain,Light,2016-04-16 06:55:00,2016-04-16 07:15:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
100,Rain,Light,2016-04-16 09:15:00,2016-04-16 09:35:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
101,Rain,Light,2016-04-16 09:35:00,2016-04-16 09:55:00,0.0,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
